(0.10,0.00)
(0.20,0.00)
(0.30,0.00)
(0.40,0.00)
(0.50,0.00)
(0.60,0.00)
(0.70,0.00)
(0.80,0.00)
(0.90,0.00)
(1.00,0.00)
(1.10,0.00)
(1.20,0.00)
(1.30,0.00)
(1.40,0.00)
(1.50,0.00)
(1.60,0.00)
(1.70,0.00)
(1.80,0.00)
(1.90,0.00)
(2.00,0.00)
(2.10,0.00)
(2.20,0.00)
(2.30,0.00)
(2.40,0.00)
(2.50,0.00)
(2.60,0.00)
(2.70,0.00)
(2.80,0.00)
(2.90,0.00)
(3.00,0.00)
(3.10,0.00)
(3.20,0.00)
(3.30,0.00)
(3.40,0.00)
(3.50,0.00)
(3.60,0.00)
(3.70,0.00)
(3.80,0.00)
(3.90,0.00)
(4.00,0.00)
(4.10,0.00)
(4.20,0.00)
(4.30,0.00)
(4.40,0.00)
(4.50,0.00)
(4.60,0.00)
(4.70,0.00)
(4.80,0.00)
(4.90,0.00)
(5.00,0.00)
(5.10,0.00)
(5.20,0.00)
(5.30,0.00)
(5.40,0.00)
(5.50,0.00)
(5.60,0.00)
(5.70,0.00)
(5.80,0.00)
(5.90,0.00)
(6.00,0.00)
(6.10,0.00)
(6.20,0.00)
(6.30,0.00)
(6.40,0.00)
(6.50,0.00)
(6.60,0.00)
(6.70,0.00)
(6.80,0.00)
(6.90,0.00)
(7.00,0.00)
(7.10,0.00)
(7.20,0.00)
(7.30,0.00)
(7.40,0.00)
(7.50,0.00)
(7.60,0.00)
(7.70,0.00)
(7.80,0.00)
(7.90,0.00)
(8.00,0.00)
(8.10,0.00)
(8.20,0.00)
(8.30,0.00)
(8.40,0.00)
(8.50,0.00)
(8.60,0.00)
(8.70,0.01)
(8.80,0.01)
(8.90,0.01)
(9.00,0.01)
(9.10,0.01)
(9.20,0.02)
(9.30,0.02)
(9.40,0.02)
(9.50,0.02)
(9.60,0.03)
(9.70,0.03)
(9.80,0.03)
(9.90,0.04)
(10.00,0.04)
(10.10,0.04)
(10.20,0.05)
(10.30,0.05)
(10.40,0.06)
(10.50,0.06)
(10.60,0.07)
(10.70,0.07)
(10.80,0.08)
(10.90,0.08)
(11.00,0.09)
(11.10,0.09)
(11.20,0.10)
(11.30,0.10)
(11.40,0.11)
(11.50,0.12)
(11.60,0.12)
(11.70,0.13)
(11.80,0.14)
(11.90,0.14)
(12.00,0.15)
(12.10,0.16)
(12.20,0.17)
(12.30,0.17)
(12.40,0.18)
(12.49,0.19)
(12.59,0.20)
(12.69,0.21)
(12.79,0.21)
(12.89,0.22)
(12.99,0.23)
(13.09,0.24)
(13.19,0.25)
(13.29,0.26)
(13.39,0.27)
(13.49,0.28)
(13.59,0.29)
(13.69,0.30)
(13.79,0.31)
(13.89,0.32)
(13.99,0.33)
(14.09,0.34)
(14.19,0.35)
(14.29,0.36)
(14.39,0.37)
(14.49,0.39)
(14.58,0.40)
(14.68,0.41)
(14.78,0.42)
(14.88,0.43)
(14.98,0.45)
(15.08,0.46)
(15.18,0.47)
(15.28,0.48)
(15.38,0.50)
(15.48,0.51)
(15.58,0.52)
(15.68,0.54)
(15.77,0.55)
(15.87,0.56)
(15.97,0.58)
(16.07,0.59)
(16.17,0.61)
(16.27,0.62)
(16.37,0.64)
(16.47,0.65)
(16.57,0.67)
(16.66,0.68)
(16.76,0.70)
(16.86,0.71)
(16.96,0.73)
(17.06,0.75)
(17.16,0.76)
(17.26,0.78)
(17.36,0.79)
(17.45,0.81)
(17.55,0.83)
(17.65,0.84)
(17.75,0.86)
(17.85,0.88)
(17.95,0.90)
(18.05,0.91)
(18.14,0.93)
(18.24,0.95)
(18.34,0.97)
(18.44,0.99)
(18.54,1.01)
(18.64,1.02)
(18.73,1.04)
(18.83,1.06)
(18.93,1.08)
(19.03,1.10)
(19.13,1.12)
(19.22,1.14)
(19.32,1.16)
(19.42,1.18)
(19.52,1.20)
(19.62,1.22)
(19.71,1.24)
(19.81,1.26)
(19.91,1.28)
(20.01,1.30)
(20.10,1.33)
(20.20,1.35)
(20.30,1.37)
(20.40,1.39)
(20.50,1.41)
(20.59,1.43)
(20.69,1.46)
(20.79,1.48)
(20.88,1.50)
(20.98,1.53)
(21.08,1.55)
(21.18,1.57)
(21.27,1.59)
(21.37,1.62)
(21.47,1.64)
(21.57,1.67)
(21.66,1.69)
(21.76,1.71)
(21.86,1.74)
(21.95,1.76)
(22.05,1.79)
(22.15,1.81)
(22.24,1.84)
(22.34,1.86)
(22.44,1.89)
(22.53,1.91)
(22.63,1.94)
(22.73,1.97)
(22.82,1.99)
(22.92,2.02)
(23.02,2.04)
(23.11,2.07)
(23.21,2.10)
(23.31,2.12)
(23.40,2.15)
(23.50,2.18)
(23.59,2.21)
(23.69,2.23)
(23.79,2.26)
(23.88,2.29)
(23.98,2.32)
(24.07,2.35)
(24.17,2.37)
(24.27,2.40)
(24.36,2.43)
(24.46,2.46)
(24.55,2.49)
(24.65,2.52)
(24.75,2.55)
(24.84,2.58)
(24.94,2.61)
(25.03,2.64)
(25.13,2.67)
(25.22,2.70)
(25.32,2.73)
(25.41,2.76)
(25.51,2.79)
(25.60,2.82)
(25.70,2.85)
(25.79,2.88)
(25.89,2.91)
(25.98,2.94)
(26.08,2.98)
(26.17,3.01)
(26.27,3.04)
(26.36,3.07)
(26.46,3.11)
(26.55,3.14)
(26.65,3.17)
(26.74,3.20)
(26.83,3.24)
(26.93,3.27)
(27.02,3.30)
(27.12,3.34)
(27.21,3.37)
(27.31,3.40)
(27.40,3.44)
(27.49,3.47)
(27.59,3.51)
(27.68,3.54)
(27.77,3.58)
(27.87,3.61)
(27.96,3.65)
(28.06,3.68)
(28.15,3.72)
(28.24,3.75)
(28.34,3.79)
(28.43,3.82)
(28.52,3.86)
(28.62,3.90)
(28.71,3.93)
(28.80,3.97)
(28.90,4.01)
(28.99,4.04)
(29.08,4.08)
(29.17,4.12)
(29.27,4.15)
(29.36,4.19)
(29.45,4.23)
(29.54,4.27)
(29.64,4.30)
(29.73,4.34)
(29.82,4.38)
(29.91,4.42)
(30.01,4.46)
(30.10,4.50)
(30.19,4.54)
(30.28,4.57)
(30.38,4.61)
(30.47,4.65)
(30.56,4.69)
(30.65,4.73)
(30.74,4.77)
(30.83,4.81)
(30.93,4.85)
(31.02,4.89)
(31.11,4.93)
(31.20,4.97)
(31.29,5.01)
(31.38,5.06)
(31.47,5.10)
pendown
(31.56,5.14)
(31.66,5.18)
(31.75,5.22)
(31.84,5.26)
(31.93,5.30)
(32.02,5.35)
(32.11,5.39)
(32.20,5.43)
(32.29,5.47)
(32.38,5.52)
(32.47,5.56)
(32.56,5.60)
(32.65,5.65)
(32.74,5.69)
(32.83,5.73)
(32.92,5.78)
(33.01,5.82)
(33.10,5.86)
(33.19,5.91)
(33.28,5.95)
(33.37,6.00)
(33.46,6.04)
(33.55,6.09)
(33.64,6.13)
(33.73,6.18)
(33.82,6.22)
(33.91,6.27)
(34.00,6.31)
(34.08,6.36)
(34.17,6.40)
(34.26,6.45)
(34.35,6.50)
(34.44,6.54)
(34.53,6.59)
(34.62,6.64)
(34.70,6.68)
(34.79,6.73)
(34.88,6.78)
(34.97,6.82)
(35.06,6.87)
(35.15,6.92)
(35.23,6.97)
(35.32,7.01)
(35.41,7.06)
(35.50,7.11)
(35.58,7.16)
(35.67,7.21)
(35.76,7.26)
(35.85,7.31)
(35.93,7.35)
(36.02,7.40)
(36.11,7.45)
(36.19,7.50)
(36.28,7.55)
(36.37,7.60)
(36.45,7.65)
(36.54,7.70)
(36.63,7.75)
(36.71,7.80)
(36.80,7.85)
(36.89,7.90)
(36.97,7.95)
(37.06,8.00)
(37.14,8.06)
(37.23,8.11)
(37.32,8.16)
(37.40,8.21)
(37.49,8.26)
(37.57,8.31)
(37.66,8.36)
(37.74,8.42)
(37.83,8.47)
(37.91,8.52)
(38.00,8.57)
(38.08,8.63)
(38.17,8.68)
(38.25,8.73)
(38.34,8.79)
(38.42,8.84)
(38.51,8.89)
(38.59,8.95)
(38.68,9.00)
(38.76,9.05)
(38.85,9.11)
(38.93,9.16)
(39.01,9.22)
(39.10,9.27)
(39.18,9.33)
(39.26,9.38)
(39.35,9.43)
(39.43,9.49)
(39.52,9.55)
(39.60,9.60)
(39.68,9.66)
(39.76,9.71)
(39.85,9.77)
(39.93,9.82)
(40.01,9.88)
(40.10,9.94)
(40.18,9.99)
(40.26,10.05)
(40.34,10.11)
(40.43,10.16)
(40.51,10.22)
(40.59,10.28)
(40.67,10.33)
(40.75,10.39)
(40.84,10.45)
(40.92,10.51)
(41.00,10.56)
(41.08,10.62)
(41.16,10.68)
(41.24,10.74)
(41.33,10.80)
(41.41,10.85)
(41.49,10.91)
(41.57,10.97)
(41.65,11.03)
(41.73,11.09)
(41.81,11.15)
(41.89,11.21)
(41.97,11.27)
(42.05,11.33)
(42.13,11.39)
(42.21,11.45)
(42.29,11.51)
(42.37,11.57)
(42.45,11.63)
(42.53,11.69)
(42.61,11.75)
(42.69,11.81)
(42.77,11.87)
(42.85,11.93)
(42.93,11.99)
(43.01,12.05)
(43.09,12.12)
(43.16,12.18)
(43.24,12.24)
(43.32,12.30)
(43.40,12.36)
(43.48,12.42)
(43.56,12.49)
(43.63,12.55)
(43.71,12.61)
(43.79,12.67)
(43.87,12.74)
(43.95,12.80)
(44.02,12.86)
(44.10,12.93)
(44.18,12.99)
(44.26,13.05)
(44.33,13.12)
(44.41,13.18)
(44.49,13.24)
(44.56,13.31)
(44.64,13.37)
(44.72,13.44)
(44.79,13.50)
(44.87,13.57)
(44.95,13.63)
(45.02,13.70)
(45.10,13.76)
(45.17,13.83)
(45.25,13.89)
(45.33,13.96)
(45.40,14.02)
(45.48,14.09)
(45.55,14.15)
(45.63,14.22)
(45.70,14.28)
(45.78,14.35)
(45.85,14.42)
(45.93,14.48)
(46.00,14.55)
(46.08,14.62)
(46.15,14.68)
(46.23,14.75)
(46.30,14.82)
(46.37,14.88)
(46.45,14.95)
(46.52,15.02)
(46.60,15.09)
(46.67,15.15)
(46.74,15.22)
(46.82,15.29)
(46.89,15.36)
(46.96,15.43)
(47.04,15.49)
(47.11,15.56)
(47.18,15.63)
(47.25,15.70)
(47.33,15.77)
(47.40,15.84)
(47.47,15.91)
(47.54,15.98)
(47.62,16.05)
(47.69,16.12)
(47.76,16.18)
(47.83,16.25)
(47.90,16.32)
(47.97,16.39)
(48.04,16.46)
(48.12,16.53)
(48.19,16.61)
(48.26,16.68)
(48.33,16.75)
(48.40,16.82)
(48.47,16.89)
(48.54,16.96)
(48.61,17.03)
(48.68,17.10)
(48.75,17.17)
(48.82,17.24)
(48.89,17.32)
(48.96,17.39)
(49.03,17.46)
(49.10,17.53)
(49.17,17.60)
(49.24,17.67)
(49.31,17.75)
(49.38,17.82)
(49.45,17.89)
